점포명,주소,전화번호
명주할인마트,"강원도 강릉시 강변로 72(회산동, 강릉회산LH천년나무2단지) 104호",033-643-3445
좋은사람들,광주광역시 북구 하서로423번길 36(용두동) 1층,062-574-7387
사랑마트,"제주도특별자치도 제주도시 구남로7길 9(이도이동, 일류빌라)",064-752-2303
대성마트,"서울특별시 송파구 백제고분로 14길5 (잠실동,대성빌딩1층)",02-420-7755
카페테리아,대구광역시 달성군 다사읍 대실역북로2길 188 달성문화센터 1층,053-659-4254
서면슈퍼,강원도 영월군 한반도면 서강로 736 서면슈퍼,033-372-6100
태양슈퍼,충청북도 제천시 청전대로 187(장락동) 103호,043-647-5072
007할인마트,대구광역시 달서구 월배로74길 59(송현동) .,053-629-5009
장산마트,부산광역시 기장군 일광면 일광로 129 장산마트,051-722-4431
남원주유통,강원도 원주시 이화4길 45(단계동) 남원주유통,
수복홈마트,충청북도 단양군 단양읍 도전4길 37,043-422-2400
가든슈퍼,서울특별시 금천구 벚꽃로 130(독산동) 팔마빌딩 1층,02-895-7574
충청북도바이오슈퍼,충청북도 청주시 흥덕구 오송읍 오송생명1로 194-41 충청북도바이오슈퍼,043-232-2300
주마트,전라북도 전주시 덕진구 사평3길 18(덕진동1가) 1층,063-253-7773
동완산마트,전라북도 전주시 완산구 곤지산1길 2(동완산동) 56-6번지 동완산마트,063-232-3157
영진슈퍼,"경상북도 포항시 북구 창흥로 68(창포동, 두호주공3차아파트) 101",054-254-2116
동도마트,경상북도 포항시 남구 중흥로172번길 25(상도동) 동도마트,054-274-5339
다원마트,서울특별시 서초구 효령로20길 10(방배동) 1층,02-3486-3944
동원식품,서울특별시 강동구 동남로87길 36 (고덕동) 541-6호,02-427-6813
ATA유통,경상북도 고령군 대가야읍 일량로 51 아시아마트,054-956-3634
슈퍼맨,충청남도 논산시 노성면 장마루로 946 슈퍼맨,
이레마트,경상북도 포항시 북구 중앙로245번길 10-1 (죽도동) 구)국제나이트 옆 현)죽도세미아트리움 옆,
어! 마트네,대전광역시 서구 조달청길 172 (도마동) 1층 101호,042-534-0737
중앙마트,경상남도 창원시 마산회원구 양덕북16길 43 (양덕동) 2층,055-293-9522
지웰스토어,충청북도 청주시 흥덕구 대농로 47-1 (복대동) 지웰시티몰 2차 지하 1층 B72 호,
착한유통,강원도 원주시 치악로 1342 (관설동) 1층,
금조마트,태백시 새시장1길 42-12 태백 종합상가(내),033-552-5230
코사마트 송현점,대구광역시 달서구 구마로48길 17 (송현동) 1층,
행운마트,강원도 춘천시 승지골길16번길 16 (퇴계동) 퇴계7단지 상가 행운마트,033-251-9077
로또명당마트,경상남도 창원시 성산구 동산로 180 (사파동) 1층로또명당마트,055-264-1785
토토편의점,경기도 김포시 통진읍 김포대로 2344 토토편의점 토토편의점,031-989-6881
명성슈퍼,경기도 수원시 권선구 세지로 12 (세류동) 46 명성슈퍼,
M마트,인천광역시 남구 경원대로 895 (주안동) 1층 M마트,032-429-9288
그린365관문점,전라남도 여수시 동문로 73 (관문동) 1 층 그린365관문점,061-666-7764
24시부천할인마트,부천시 원미구 심곡2동 161-20번지 1층 부천할인마트,032-662-3700
시장슈퍼,인천광역시 남동구 만수로 39 (만수동) 만수시장슈퍼,032-462-8709
광성종합도매유통,"경기도 수원시 권선구 수성로 18 (구운동,강남아파트) 상가 지층 B01호",031-294-0773
홈마트(장성),경상북도 포항시 북구 삼흥로32번길 6-9 (장성동) 1층 홈마트,054-255-3155
주흥슈퍼,강원도 태백시 상장로 105 (황지동) 태백연립 가동 주흥슈퍼,033-552-9271
영재마트,경기도 안양시 동안구 경수대로 519 (호계동) 영재마트,031-455-1988
수연마트,경상남도 진주시 도동천로 307 (하대동) 경상남도 진주시 하대동 308-28,055-758-4787
나들가게 한양,서울특별시 종로구 새문안로 42 (신문로2가) 서울특별시 종로구 신문로2가 89-27,02-734-7535
포뷰미니마켓,강원도 강릉시 해안로 356 (강문동) 포뷰펜션 B동 1층 포뷰미니마켓,
녹원유통,"경기도 시흥시 신천로19번길 24-4 ,1층 (신천동)",031-318-1135
24시편의점,충청남도 천안시 서북구 불당33길 18 (불당동) 서울대정병원 24시편의점,041-568-3700
현진할인마트,경상북도 포항시 북구 삼흥로69번길 27 (장성동) 866-14번지,054-247-3565
직행매점,경상북도 경주시 강변로 184 (노서동) 경주시외버스터미널,
성문마트,경상북도 경주시 북성로 97 (북부동) 1층,
IT편의점,경기도 화성시 동탄순환대로 878 (영천동) 101호,
진마트,경상북도 안동시 송하1길 122 (옥동) 진마트,054-857-4433
셋공주슈퍼,대전광역시 유성구 계룡로32번길 12 (봉명동) 1층,042-822-7886
신성할인점,서울특별시 노원구 노원로34길 62 (상계동) 노원구 노원로34길62(신성할인점),02-938-6135
이플러스마트,경상남도 창원시 진해구 진해대로728번길 16 (석동) 이플러스마트,055-547-8919
국민마트,경상남도 창원시 마산합포구 문화북1길 56 (두월동2가) 국민마트,055-244-8320
365데이(DAY),경기도 용인시 처인구 백암면 백암로 219-1 365데이,031-332-4881
해피유통,서울특별시 동작구 신대방1나길 26 (신대방동) 해피유통 1층,02-836-4545
선누리편의점,경상남도 창녕군 고암면 창밀로 1015 선누리편의점,
사랑해마트,서울특별시 은평구 은평터널로 169 (신사동) 사랑해마트,02-373-6945
단양수중보휴게쉼터,충청북도 단양군 단성면 월악로 4327 1층,043-422-6001
더드림마트,경상남도 김해시 활천로6번길 20 (삼정동) 1동,
월드마트,경기도 광주시 초월읍 산수로 526 1층 월드푸드마트,031-762-7426
시청만남의광장,강원도 원주시 시청로 1 (무실동) 원주시청 백운아트홀 지하1층( 문구.매점),033-734-5878
그린할인마트,부산광역시 동구 좌천동로 17 (좌천동),051-643-7770
코리아마트,"서울특별시 금천구 시흥대로150길 6 (독산동, 한양수자인아파트) 101-101",
마을구판장 로맨틱망상,강원도 동해시 망상길 46 (망상동) 마을구판장,
동김해마트,경상남도 김해시 분성로727번길 8-23 (지내동) 1층 102호,055-312-9711
쑤기마트,대구광역시 서구 서대구광역시로68길 42 (비산동) 쑤기마트,053-201-2132
싱싱할인마트,대전광역시 동구 동서대로1520번길 22 (삼성동) 1층,042-634-0035
한길디씨마트,인천광역시 남구 연송로 60-8 (도화동) 한길디씨마트(선화),032-773-8280
원마트(택전점),경상북도 포항시 남구 연일읍 원서길 119 원마트(택전점),054-285-2493
19차 마트,경상남도 김해시 부곡로 12(부곡동) 상가동 1층 101호,
아이존,"경상남도 창원시 의창구 도계로 135 (명서동, 두산위브아파트) 두산위브주상가 115호 아이존",055-606-2565
덕천슈퍼,서울특별시 광진구 동일로10길 9(자양동) .,02-464-5091
케이마트,"서울특별시 서초구 방배로43길 21 (방배동, 삼호아파트) 케이마트",02-591-0523
진하이퍼마켓,서울특별시 금천구독산로32길19 진하이퍼마켙 시흥동810-34호,02-807-0027
한신에프앤비,서울특별시 금천구 탑골로 41 (시흥동) 1층,02-790-0401
누렁소마트,서울특별시 노원구 동일로184길 38 (공릉동) 1층,02-948-0109
백산슈퍼,전라북도 김제시 백산면 백산로 55-1 백산슈퍼,063-545-1474
마트앤24시,전라북도 김제시 서낭당길 129 (요촌동) 마트앤24시,
짱마트나들가게,충청북도 제천시 청풍호로9길 3 (영천동),
서한마트,서울특별시 동작구 국사봉1길 108(상도동) .,02-3482-5416
인더라인25편의점,"서울특별시 영등포구 당산로 68 (당산동1가, 진로아파트) 상가 1층 108호",02-2636-9419
성산휴게소편의점,제주도특별자치도 서귀포시 성산읍 섭지코지로25번길 34 성산휴게소 내,064-783-1011
AnyTime편의점,경상남도 창원시 마산회원구 내서읍 광려천남로 245 (한일유앤아이오르젠아파트) 103-1301,055-602-3650
와흘나들가게,제주도특별자치도 제주도시 조천읍 중산간동로 406-1 1층,
신광코사,제주도특별자치도 제주도시 성신로 20 (연동) .,064-744-1911
주은마트,경상북도 포항시 남구 오천읍 해병로 283 (주은리버타운) 주은마트,054-291-2678
너구리마트,전라북도 전주시 완산구 척동1길 26 (효자동3가) 너구리마트,063-227-3824
수청주공슈퍼,경기도 오산시 내삼미로 38(수청동) 제상가-101,
목련할인마트,"경기도 군포시 고산로643번길 9 (산본동, 우방목련아파트) 목련상가 지하 5호",031-393-8095
수지마트,전라북도 전주시 완산구 신촌3길 19-6 (중화산동2가) 1층 수지마트,063-227-2299
금성할인마트,서울특별시 동작구 상도로47길 84 (상도1동) 금성할인마트,02-812-7024
동작할인마트,서울특별시 동작구 대방동길 4 (대방동) 동남빌딩 1층,02-816-5724
그린하이퍼마켓,경기도 안양시 만안구 안양로 224-6 (안양동) 영복빌딩 1층,031-444-5355
우리들마트,강원도 원주시 예술관길 14 (명륜동) 1층 107호,033-761-4977
더-조은마트,강원도 원주시 단구로 263 (단구동) 더-조은마트,033-762-7554
홈토아슈퍼,부산광역시 북구 낙동북로 649 (구포동) .,051-338-7738
아이지에이 행복나눔점,"경기도 안양시 동안구 경수대로519번길 44 (호계동, 로얄리움) 101호 ,아이지에이행복나눔점",031-452-0916
천심슈퍼,서울특별시 동대문구 황물로 105(답십리동 ) 1층,02-2212-4890
C&S편의점,대구광역시 달서구 달구벌대로304길 39 (감삼동) 576-3,053-561-4918
행복편의점,경상북도 경주시 외동읍 산업로 1762 (부성아파트) 1층 102호,054-776-3389
태양마트,서울특별시 중랑구 면목로47길 22 (면목동) 1층(면목동),02-435-1255
맛나슈퍼,강원도 태백시 서학1길 43 (황지동) 맛나슈퍼,033-552-7667
태백월마트,강원도 태백시 황지로 263 (황지동) 9/1,
청솔도매마트,"강원도 태백시 청솔길 8 (황지동, 태백황지청솔아파트) 111-A동 211호",033-552-1970
동점마트,강원도 태백시 동태백로 128 (동점동) 동점슈퍼,033-582-9886
삼거리마트,경상북도 영주시 고현로 237 (고현동) 1층 삼거리마트,
사계절마트,"경기도 시흥시 문화마을로16번길 76-1 (대야동, 행운하이츠빌) 101호",031-315-7802
승리마트,전라남도 여수시 동문로 127 (공화동) 상가,061-664-4373
부영예스마트,전라남도 여수시 소라면 덕양로 112 죽림부영아파트 상가동 101호,061-692-0033
서울365마트,"서울특별시 금천구 금하로24길 34 (시흥동, 백운맨션) 1층 서울365마트",02-803-6229
우성할인마트,경상북도 경주시 안강읍 화전길 71 .,054-761-5553
동아중국식품,전라남도 영암군 삼호읍 대불주거1로1길 21 1층,
경기할인마트,서울특별시 금천구 시흥1동 985-2호 경기할인마트 서울 금천구 시흥1동 985-2호 경기할인마트,02-803-0611
명보 슈퍼마켓,서울특별시 도봉구 도봉로137길 16 (쌍문동) 101호,02-904-5445
행복마트,경기도 하남시 신장로204번길 16 (덕풍동) 1층 행복마트,031-795-8911
우성마트,서울특별시 도봉구 해등로32길 8 (방학동) 1호,02-956-5050
그린마트,서울특별시 도봉구 도봉로180가길 96 (도봉동) 서울시 도봉구 도봉로 180가길96,02-3491-7843
밀알마트,경상북도 경주시 북정로 123 (성동동) 101호,054-771-3708
성봉한림할인마트,"경상남도 김해시 율하3로 100 (관동동, 죽림마을 한림풀에버7단지아파트 주상가) 727동 101호",055-328-6464
수정슈퍼,"충청북도 청주시 흥덕구 가경로 72 (가경동, 가경태암수정아파트) 상가동103호",043-233-4119
굿데이마트,경기도 수원시 영통구 신원로 295 (매탄동) 1층,031-217-2477
굿모닝마트,충청북도 제천시 신백로8길 15 (신백동) 굿모닝마트,043-648-2202
지곡유통,경상북도 포항시 남구 지곡로 253 (지곡동) 에드빌3차 102동1층 125호,054-285-8549
여기마트,전라북도 전주시 완산구 황강서원2길 5 (효자동3가) .,063-236-2558
명주상회,경기도 의정부시 시민로 129-1 (의정부동) 명주슈퍼,031-848-2497
조은할인마트,서울특별시 금천구 남부순환로108길 11-16 (가산동) 1층,02-868-8752
나들가게 군포1호점,경기도 군포시 송부로 222-1(부곡동) 상가동 101호,031-459-7148
쌍용슈퍼,경기도 김포시 중봉로58번길 60 (감정동) 쌍용아파트 단지상가 102호 쌍용슈퍼,031-984-3854
심양슈퍼,경기도 안산시 단원구 원곡1로 18-1 (원곡동) 1층,
BS마트,강원도 춘천시 벌말길 106-1 (석사동) 1층,033-263-5855
하모니금호점,"경기도 수원시 권선구 금호로15번길 15 (금곡동, 신미주아파트) 상가동 비01호",031-296-2447
훼미리마트,경기도 남양주시 경춘로양골3길 46 (금곡동) /,031-595-1411
대신편의점,경상남도 밀양시 하남읍 온천로 1842 1층,
매일,서울특별시 금천구 금하로24길 56(시흥동) .,02-895-1794
에드가마트,전라남도 목포시 동목포길 37(용당동) .,061-277-6800
참마트,포항시 남구 중섬로66-13(상도동) 참마트,054-282-2663
제일할인마트,"경기도 부천시 석천로30번길 44, 1층(상동시장)",
